pmid	pmcid	status	pdf_file	detail
36305334	PMC9615416	DOWNLOADED	PMC9615416.1.pdf	
36735316	PMC10319951	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
36758676		NO_PMC_RECORD		PubMed reports no PMC copy of this record
36864015		NO_PMC_RECORD		PubMed reports no PMC copy of this record
36918743		NO_PMC_RECORD		PubMed reports no PMC copy of this record
36935372	PMC10154128	DOWNLOADED	PMC10154128.1.pdf	
36949027		NO_PMC_RECORD		PubMed reports no PMC copy of this record
37125917	PMC10269549	DOWNLOADED	PMC10269549.1.pdf	
37195180	PMC10269110	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
37287125	PMC10393890	DOWNLOADED	PMC10393890.1.pdf	
37345941	PMC10469669	DOWNLOADED	PMC10469669.1.pdf	
37352110		NO_PMC_RECORD		PubMed reports no PMC copy of this record
37358443	PMC10434052	DOWNLOADED	PMC10434052.1.pdf	
37610183	PMC10461684	DOWNLOADED	PMC10461684.1.pdf	
37662974	PMC10473398	DOWNLOADED	PMC10473398.1.pdf	
37695298	PMC10583683	DOWNLOADED	PMC10583683.1.pdf	
37823665	PMC10662344	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
37874301	PMC10648979	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
37877547	PMC10617348	DOWNLOADED	PMC10617348.1.pdf	
37906281		NO_PMC_RECORD		PubMed reports no PMC copy of this record
37961251	PMC10635175	DOWNLOADED	PMC10635175.1.pdf	
38078757	PMC10805014	DOWNLOADED	PMC10805014.1.pdf	
38193668	PMC10869336	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
38219758		NO_PMC_RECORD		PubMed reports no PMC copy of this record
38288762	PMC10868605	DOWNLOADED	PMC10868605.1.pdf	
38289725		NO_PMC_RECORD		PubMed reports no PMC copy of this record
38305674	PMC10984938	DOWNLOADED	PMC10984938.1.pdf	
38305703	PMC10904727	DOWNLOADED	PMC10904727.1.pdf	
38482359	PMC10928409	DOWNLOADED	PMC10928409.1.pdf	
38501355		NO_PMC_RECORD		PubMed reports no PMC copy of this record
38525761	PMC10961801	DOWNLOADED	PMC10961801.1.pdf	
38598696	PMC11144481	DOWNLOADED	PMC11144481.1.pdf	
38661186	PMC12098015	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
38686215	PMC11057200	DOWNLOADED	PMC11057200.2.pdf	
38709811	PMC11110942	DOWNLOADED	PMC11110942.1.pdf	
38954914		NO_PMC_RECORD		PubMed reports no PMC copy of this record
39296292	PMC11408311	DOWNLOADED	PMC11408311.1.pdf	
39611855	PMC11656808	DOWNLOADED	PMC11656808.1.pdf	
39665271		NO_PMC_RECORD		PubMed reports no PMC copy of this record
39873500	PMC11881553	DOWNLOADED	PMC11881553.1.pdf	
39887238	PMC11905363	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
39913260	PMC11962384	DOWNLOADED	PMC11962384.1.pdf	
40067045	PMC11963537	DOWNLOADED	PMC11963537.1.pdf	
40233945	PMC12054033	DOWNLOADED	PMC12054033.1.pdf	
40240992	PMC12001449	DOWNLOADED	PMC12001449.1.pdf	
40334841		NO_PMC_RECORD		PubMed reports no PMC copy of this record
40391708		NO_PMC_RECORD		PubMed reports no PMC copy of this record
40423723	PMC12457464	DOWNLOADED	PMC12457464.1.pdf	
40512052	PMC12217476	DOWNLOADED	PMC12217476.1.pdf	
40520176	PMC12162686	DOWNLOADED	PMC12162686.1.pdf	
40780590		NO_PMC_RECORD		PubMed reports no PMC copy of this record
41891864	PMC13148037	DOWNLOADED	PMC13148037.1.pdf	
42003578	PMC13231924	DOWNLOADED	PMC13231924.1.pdf	
42080560	PMC13436074	DOWNLOADED	PMC13436074.1.pdf	
42294650	PMC13435639	DOWNLOADED	PMC13435639.1.pdf	
